"DATE & TIME","USER NAME","EVENT","TARGET NAME","PROJECT NAME"
"2026-01-13T22:47:34.551Z","ross_domino","Create Governance Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T22:47:34.549Z","ross_domino","Add Policy to Governance Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T22:47:23.659Z","ross_domino","View Repo File","","CDISC01_CSR"
"2026-01-13T22:47:13.191Z","ross_domino","Archive Governance Policy","ADaM Dataset - High Risk",""
"2026-01-13T22:46:16.295Z","ross_domino","Archive Governance Policy","App Publishing Gate",""
"2026-01-13T22:45:27.621Z","ross_domino","Delete Governance Bundle","ADSL","CDISC01_CSR"
"2026-01-13T22:45:15.143Z","ross_domino","Delete Governance Bundle","T_POP TFL","CDISC01_CSR"
"2026-01-13T22:45:01.905Z","ross_domino","Delete Governance Bundle","T_AE_REL Report","CDISC01_CSR"
"2026-01-13T22:44:51.707Z","ross_domino","Delete Governance Bundle","ADLB Dataset","CDISC01_CSR"
"2026-01-13T22:44:37.811Z","ross_domino","Delete Governance Bundle","ADMH Dataset","CDISC01_CSR"
"2026-01-13T22:44:24.135Z","ross_domino","Delete Governance Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T22:44:11.885Z","ross_domino","Delete Governance Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T22:43:54.860Z","ross_domino","Delete Governance Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T22:43:20.480Z","ross_domino","Delete Governance Bundle","T_VSCAT Report","CDISC01_CSR"
"2026-01-13T22:42:18.344Z","ross_domino","View Repo File","","CDISC01_CSR"
"2026-01-13T22:38:22.286Z","ross_domino","View Repo File","","CDISC01_CSR"
"2026-01-13T22:37:07.257Z","agnes_domino","Stop a Workspace Session","agnes_domino's SAS session","CDISC01_CSR"
"2026-01-13T21:55:27.137Z","ross_domino","Change Governance Bundle State","T_VSCAT Report","CDISC01_CSR"
"2026-01-13T21:54:31.538Z","ross_domino","Change Governance Bundle State","ADCM Dataset","CDISC01_CSR"
"2026-01-13T21:54:31.538Z","ross_domino","Change Governance Bundle State","ADLB Dataset","CDISC01_CSR"
"2026-01-13T21:54:31.538Z","ross_domino","Change Governance Bundle State","T_AE_REL Report","CDISC01_CSR"
"2026-01-13T21:54:31.537Z","ross_domino","Change Governance Bundle State","T_POP TFL","CDISC01_CSR"
"2026-01-13T21:54:31.537Z","ross_domino","Change Governance Bundle State","ADAE Dataset","CDISC01_CSR"
"2026-01-13T21:54:31.537Z","ross_domino","Change Governance Bundle State","T_VSCAT Report","CDISC01_CSR"
"2026-01-13T21:54:31.537Z","ross_domino","Change Governance Bundle State","ADSL Dataset","CDISC01_CSR"
"2026-01-13T21:54:31.537Z","ross_domino","Change Governance Bundle State","ADMH Dataset","CDISC01_CSR"
